AccountNo,CustId,AccountLocation,CurrencyCode,DailyDepositLimit,StakeScale,SourceProd,SheetName,Title,FirstName,LastName,CreateDate,CountryCode,Language,Status,DateOfBirth,Contact,CustomerGroup,BetDate,ClassId,CategoryId,Source,BetCount,Bet_Amt,Win_Amt,Product,Unnamed: 9,Unnamed: 10,Unnamed: 11,AccountNo.1,Bet_Amt.1,Product.1,Unnamed: 15,AccountNo.2,Vegas,Sportsbook,Games,Casino,Poker,Bingo,,Adjustments,CLASSID,CATEGORYID,product,sub_product,description,bet_or_play,Table: student,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Table: school,Unnamed: 8
,889782.0,GIB,,,,,Customer,Mr,Bob,Marley,2008-01-16,UK ,en,A,1964-04-18,Y,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1965214.0,GIB,,,,,Customer,Mr,Sidney,Vicious,2009-12-18,UK ,en,A,1976-08-12,N,Bronze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01196ZZ   ,,,,,,,Betting,,,,,,,,,,,2012-11-24,22512_XFER,22512.0,I,189.0,29364.0,28947.0,Vegas,,,,01196ZZ   ,29364.0,Vegas,,01196ZZ   ,89860.70000000001,42758.0,0.0,1262.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-27,22512_XFER,22512.0,I,1415.0,19835.0,18639.15,Vegas,,,,00357DG   ,19835.0,Vegas,,00357DG   ,191804.9,100.0,16899.85,20.0,0.0,49.8,0.0,295.21,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-24,22512_XFER,22512.0,I,2026.0,19280.8,17904.5,Vegas,,,,00357DG   ,19280.8,Vegas,,01284UW   ,0.0,152613.05000000002,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
01196ZZ   ,,,,,,,Betting,,,,,,,,,,,2012-12-19,22512_XFER,22512.0,I,151.0,17301.0,16956.0,Vegas,,,,01196ZZ   ,17301.0,Vegas,,01148BP   ,7030.0,290957.71,0.0,0.0,0.0,0.0,500.0,0.0,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-10-21,46,5.0,I,25.0,16850.0,3319.11,Sportsbook,,,,01284UW   ,16850.0,Sportsbook,,00497XG   ,0.0,0.0,25784.57,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-26,22512_XFER,22512.0,I,1859.0,16078.5,12299.52,Vegas,,,,00357DG   ,16078.5,Vegas,,01152SJ   ,0.0,0.0,0.0,43494.4615,46893.35950000001,0.0,0.0,0.0,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-17,22512_XFER,22512.0,I,1469.0,15204.0,14758.8,Vegas,,,,00357DG   ,15204.0,Vegas,,00C017    ,0.0,200.0,0.0,0.0,17464.54,2143.3999999999996,0.0,0.0,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-30,22512_XFER,22512.0,I,920.0,15000.0,10169.8,Vegas,,,,00357DG   ,15000.0,Vegas,,00J381    ,0.0,36855.00999999999,0.0,0.0,0.0,0.0,826.0,0.0,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-10-14,46,5.0,I,25.0,13700.0,10781.59,Sportsbook,,,,01284UW   ,13700.0,Sportsbook,,00775SM   ,118.37,46.0,140.93,20.0,0.0,993.2,0.0,0.0,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-10-16,36,5.0,I,16.0,13655.0,20945.93,Sportsbook,,,,01284UW   ,13655.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-11-03,46,5.0,I,87.0,13405.14,3500.0,Sportsbook,,,,01284UW   ,13405.14,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-10-10,274,5.0,I,17.0,12370.0,0.0,Sportsbook,,,,01284UW   ,12370.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-15,22512_XFER,22512.0,I,1152.0,12133.0,11300.9,Vegas,,,,00357DG   ,12133.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-28,22512_XFER,22512.0,I,507.0,11614.0,8729.6,Vegas,,,,00357DG   ,11614.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-12-05,22512_XFER,22512.0,I,557.0,11176.0,9751.6,Vegas,,,,00357DG   ,11176.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
01196ZZ   ,,,,,,,Betting,,,,,,,,,,,2012-12-15,22512_XFER,22512.0,I,167.0,10896.0,10410.0,Vegas,,,,01196ZZ   ,10896.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-11-01,46,5.0,I,34.0,10674.28,12210.0,Sportsbook,,,,01284UW   ,10674.28,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01196ZZ   ,,,,,,,Betting,,,,,,,,,,,2012-11-28,22512_XFER,22512.0,I,106.0,10011.0,8736.0,Vegas,,,,01196ZZ   ,10011.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-09-17,2,9.0,I,30.0,9800.0,8200.0,Sportsbook,,,,01148BP   ,9800.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-11-17,2,9.0,I,28.0,9252.5,15353.75,Sportsbook,,,,01148BP   ,9252.5,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-14,22512_XFER,22512.0,I,1201.0,9154.2,7138.3,Vegas,,,,00357DG   ,9154.2,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-10-09,2,9.0,I,33.0,9108.33,14245.83,Sportsbook,,,,01148BP   ,9108.33,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01196ZZ   ,,,,,,,Betting,,,,,,,,,,,2012-12-08,22512_XFER,22512.0,I,90.0,8815.5,8595.0,Vegas,,,,01196ZZ   ,8815.5,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-23,22512_XFER,22512.0,I,998.0,8534.0,7082.0,Vegas,,,,00357DG   ,8534.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-12,613,0.0,I,988.0,8472.6,8829.2,Games,,,,00357DG   ,8472.6,Games,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-12-10,2,9.0,I,22.0,7687.5,6587.5,Sportsbook,,,,01148BP   ,7687.5,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-10-18,2,9.0,I,17.0,7625.0,4925.0,Sportsbook,,,,01148BP   ,7625.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-11-07,2,9.0,I,18.0,7493.75,1593.75,Sportsbook,,,,01148BP   ,7493.75,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
00497XG   ,,,,,,,Betting,,,,,,,,,,,2012-12-27,601,0.0,I,1190.0,7450.2,6870.91,Games,,,,00497XG   ,7450.2,Games,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-10-21,2,9.0,I,17.0,7450.0,2150.0,Sportsbook,,,,01148BP   ,7450.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-10-11,36,5.0,I,8.0,7150.0,0.0,Sportsbook,,,,01284UW   ,7150.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-19,22512_XFER,22512.0,I,1007.0,6918.0,3831.35,Vegas,,,,00357DG   ,6918.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-10-14,274,5.0,I,9.0,6550.0,6453.33,Sportsbook,,,,01284UW   ,6550.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-12,22512_XFER,22512.0,I,1042.0,6538.0,5236.3,Vegas,,,,00357DG   ,6538.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-20,22512_XFER,22512.0,I,711.0,6529.0,3679.25,Vegas,,,,00357DG   ,6529.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-10-24,2,9.0,I,18.0,6015.63,8737.52,Sportsbook,,,,01148BP   ,6015.63,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-10-02,2,9.0,I,20.0,5915.65,5203.15,Sportsbook,,,,01148BP   ,5915.65,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-09-28,2,9.0,I,19.0,5887.5,7300.0,Sportsbook,,,,01148BP   ,5887.5,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-10-17,2,9.0,I,19.0,5800.0,6605.0,Sportsbook,,,,01148BP   ,5800.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-11-27,22512_XFER,22512.0,I,68.0,5760.0,6030.0,Vegas,,,,01148BP   ,5760.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-08,22512_XFER,22512.0,I,1482.0,5652.4,3412.6,Vegas,,,,00357DG   ,5652.4,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-12-05,2,9.0,I,17.0,5600.0,4200.0,Sportsbook,,,,01148BP   ,5600.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-09-16,2,9.0,I,21.0,5560.18,5726.25,Sportsbook,,,,01148BP   ,5560.18,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01152SJ   ,,,,,,,Betting,,,,,,,,,,,2012-12-01,22528_PRCH,22528.0,I,3.0,5451.3013,0.0,Casino,,,,01152SJ   ,5451.3013,Casino,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-12-01,2,9.0,I,15.0,5350.0,7350.0,Sportsbook,,,,01148BP   ,5350.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-12-09,2,9.0,I,14.0,5293.75,5393.75,Sportsbook,,,,01148BP   ,5293.75,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-10-31,1,5.0,I,35.0,5290.0,5720.0,Sportsbook,,,,01284UW   ,5290.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-09-20,2,9.0,I,17.0,5250.0,5550.0,Sportsbook,,,,01148BP   ,5250.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-10-25,2,9.0,I,16.0,5219.59,6857.42,Sportsbook,,,,01148BP   ,5219.59,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-29,22512_XFER,22512.0,I,323.0,5018.0,2367.3,Vegas,,,,00357DG   ,5018.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-10-03,2,9.0,I,21.0,4987.5,1975.0,Sportsbook,,,,01148BP   ,4987.5,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01196ZZ   ,,,,,,,Betting,,,,,,,,,,,2012-10-20,3,8.0,I,25.0,4585.0,3448.75,Sportsbook,,,,01196ZZ   ,4585.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-11-19,2,9.0,I,15.0,4491.15,4925.0,Sportsbook,,,,01148BP   ,4491.15,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-11-06,2,9.0,I,11.0,4462.5,6487.5,Sportsbook,,,,01148BP   ,4462.5,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-09-14,2,9.0,I,17.0,4460.0,9228.13,Sportsbook,,,,01148BP   ,4460.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-11-01,2,9.0,I,10.0,4390.0,840.0,Sportsbook,,,,01148BP   ,4390.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-11-20,2,9.0,I,11.0,4300.0,1550.0,Sportsbook,,,,01148BP   ,4300.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01196ZZ   ,,,,,,,Betting,,,,,,,,,,,2012-09-29,2,9.0,I,20.0,4290.0,1825.0,Sportsbook,,,,01196ZZ   ,4290.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01196ZZ   ,,,,,,,Betting,,,,,,,,,,,2012-12-13,22512_XFER,22512.0,I,39.0,4265.0,5940.0,Vegas,,,,01196ZZ   ,4265.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-12-11,2,9.0,I,11.0,4240.0,1840.0,Sportsbook,,,,01148BP   ,4240.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-11-02,2,9.0,I,8.0,4237.5,5387.5,Sportsbook,,,,01148BP   ,4237.5,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01152SJ   ,,,,,,,Betting,,,,,,,,,,,2012-10-17,22527_PRCH,22527.0,I,6.0,4234.6494,0.0,Poker,,,,01152SJ   ,4234.6494,Poker,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-06,22512_XFER,22512.0,I,1056.0,4113.0,3992.2,Vegas,,,,00357DG   ,4113.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-11-16,2,9.0,I,11.0,4106.25,6156.25,Sportsbook,,,,01148BP   ,4106.25,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-10-26,2,9.0,I,12.0,4062.5,3187.5,Sportsbook,,,,01148BP   ,4062.5,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
00497XG   ,,,,,,,Betting,,,,,,,,,,,2012-12-24,638,0.0,I,1797.0,4031.29,3325.75,Games,,,,00497XG   ,4031.29,Games,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-11-08,2,9.0,I,14.0,4020.31,4564.06,Sportsbook,,,,01148BP   ,4020.31,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
00497XG   ,,,,,,,Betting,,,,,,,,,,,2012-12-25,638,0.0,I,1198.0,3938.31,2457.3,Games,,,,00497XG   ,3938.31,Games,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-09-11,2,9.0,I,15.0,3825.0,4625.0,Sportsbook,,,,01148BP   ,3825.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-10-27,2,9.0,I,14.0,3802.5,3302.5,Sportsbook,,,,01148BP   ,3802.5,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-10-19,2,9.0,I,9.0,3800.0,7237.5,Sportsbook,,,,01148BP   ,3800.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-10-20,1,5.0,I,7.0,3780.0,0.0,Sportsbook,,,,01284UW   ,3780.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-11-23,2,9.0,I,10.0,3681.25,5431.25,Sportsbook,,,,01148BP   ,3681.25,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01196ZZ   ,,,,,,,Betting,,,,,,,,,,,2012-12-23,22512_XFER,22512.0,I,38.0,3660.0,3510.0,Vegas,,,,01196ZZ   ,3660.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-11-09,2,9.0,I,10.0,3643.75,2800.0,Sportsbook,,,,01148BP   ,3643.75,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-09-27,2,9.0,I,12.0,3638.0,6000.0,Sportsbook,,,,01148BP   ,3638.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-10-10,2,9.0,I,10.0,3595.45,1495.45,Sportsbook,,,,01148BP   ,3595.45,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-10-10,36,5.0,I,9.0,3550.0,0.0,Sportsbook,,,,01284UW   ,3550.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01152SJ   ,,,,,,,Betting,,,,,,,,,,,2012-12-03,22528_PRCH,22528.0,I,2.0,3497.377,0.0,Casino,,,,01152SJ   ,3497.377,Casino,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-09-01,2,9.0,N,6.0,3470.0,1320.0,Sportsbook,,,,01148BP   ,3470.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01152SJ   ,,,,,,,Betting,,,,,,,,,,,2012-12-01,22527_PRCH,22527.0,I,2.0,3370.3864,0.0,Poker,,,,01152SJ   ,3370.3864,Poker,,,,,,,,,,,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-10-31,46,5.0,I,36.0,3315.0,960.0,Sportsbook,,,,01284UW   ,3315.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-22,22512_XFER,22512.0,I,340.0,3310.0,2005.0,Vegas,,,,00357DG   ,3310.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
00497XG   ,,,,,,,Betting,,,,,,,,,,,2012-12-27,638,0.0,I,1230.0,3295.93,2748.83,Games,,,,00497XG   ,3295.93,Games,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-12-12,2,9.0,I,11.0,3275.0,2275.0,Sportsbook,,,,01148BP   ,3275.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-10,22512_XFER,22512.0,I,826.0,3192.0,2335.0,Vegas,,,,00357DG   ,3192.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-10-12,36,5.0,I,12.0,3180.0,25348.33,Sportsbook,,,,01284UW   ,3180.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
00357DG   ,,,,,,,Betting,,,,,,,,,,,2012-11-05,22512_XFER,22512.0,I,709.0,3158.0,3208.1,Vegas,,,,00357DG   ,3158.0,Vegas,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-12-08,2,9.0,M,11.0,3150.0,5100.0,Sportsbook,,,,01148BP   ,3150.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-10-30,46,5.0,I,25.0,3145.0,2380.0,Sportsbook,,,,01284UW   ,3145.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-11-20,3,8.0,I,8.0,3137.5,1687.5,Sportsbook,,,,01148BP   ,3137.5,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-12-03,2,9.0,I,7.0,2860.0,3293.75,Sportsbook,,,,01148BP   ,2860.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-10-31,2,9.0,I,7.0,2800.0,3000.0,Sportsbook,,,,01148BP   ,2800.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01196ZZ   ,,,,,,,Betting,,,,,,,,,,,2012-10-23,2,9.0,I,11.0,2760.0,2000.0,Sportsbook,,,,01196ZZ   ,2760.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
00497XG   ,,,,,,,Betting,,,,,,,,,,,2012-12-26,638,0.0,I,986.0,2742.5,1674.6,Games,,,,00497XG   ,2742.5,Games,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-12-07,2,9.0,M,7.0,2700.0,4950.0,Sportsbook,,,,01148BP   ,2700.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-10-14,36,5.0,I,7.0,2700.0,0.0,Sportsbook,,,,01284UW   ,2700.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01196ZZ   ,,,,,,,Betting,,,,,,,,,,,2012-09-23,2,9.0,I,14.0,2650.0,1800.0,Sportsbook,,,,01196ZZ   ,2650.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01284UW   ,,,,,,,Betting,,,,,,,,,,,2012-10-15,36,5.0,I,6.0,2600.0,0.0,Sportsbook,,,,01284UW   ,2600.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
01148BP   ,,,,,,,Betting,,,,,,,,,,,2012-09-21,2,9.0,I,8.0,2550.0,1550.0,Sportsbook,,,,01148BP   ,2550.0,Sportsbook,,,,,,,,,,,,,,,,,,,,,,,,,
